edge_id,from_node,to_node,from_name,to_name,distance_km,connector_distance_m,base_time_min,average_speed_kph,road_type,one_way_share,direction,congestion_level,risk_score,closed,backbone_edge,data_source
E027,DL06,DL19,Thung Lũng Tình Yêu,Làng Đồng trụ LangBiang,11.372,246.7,19.58,34.8,living_street|residential|secondary|tertiary,0.14,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E028,DL19,DL06,Làng Đồng trụ LangBiang,Thung Lũng Tình Yêu,11.44,246.7,19.68,34.9,living_street|residential|secondary|tertiary,0.213,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E029,DL07,DL11,Thác Datanla,Thác Prenn,5.369,486.0,6.83,47.2,primary,0.25,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E030,DL11,DL07,Thác Prenn,Thác Datanla,6.735,486.0,8.83,45.8,motorway|motorway_link|primary|residential|trunk_link,0.636,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E031,DL07,DL16,Thác Datanla,Hồ Tuyền Lâm,1.947,504.9,4.38,26.7,primary|secondary|tertiary,0.6,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E032,DL16,DL07,Hồ Tuyền Lâm,Thác Datanla,1.913,504.9,4.32,26.6,primary_link|secondary|tertiary,0.75,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E033,DL08,DL09,Devil Mountain Tourist Area,Làng Cu Lần,14.153,1701.9,23.12,36.7,primary|secondary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E034,DL09,DL08,Làng Cu Lần,Devil Mountain Tourist Area,14.153,1701.9,23.12,36.7,primary|secondary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E035,DL08,DL20,Devil Mountain Tourist Area,Thác Ankroet,6.392,1838.0,14.18,27.0,secondary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E036,DL20,DL08,Thác Ankroet,Devil Mountain Tourist Area,6.392,1838.0,14.18,27.0,secondary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E037,DL10,DL15,Vườn dâu Công nghệ cao Bình Yên,Nhà thờ Cam Ly,1.497,212.6,4.7,19.1,residential,0.0,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E038,DL15,DL10,Nhà thờ Cam Ly,Vườn dâu Công nghệ cao Bình Yên,1.497,212.6,4.7,19.1,residential,0.0,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E039,DL10,DL21,Vườn dâu Công nghệ cao Bình Yên,Chợ Đà Lạt,2.58,151.9,5.82,26.6,residential|secondary|tertiary,0.192,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E040,DL21,DL10,Chợ Đà Lạt,Vườn dâu Công nghệ cao Bình Yên,2.578,151.9,5.87,26.3,residential|secondary|tertiary,0.192,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E041,DL12,DL16,Đường hầm điêu khắc,Hồ Tuyền Lâm,10.306,200.3,19.74,31.3,secondary|tertiary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E042,DL16,DL12,Hồ Tuyền Lâm,Đường hầm điêu khắc,10.306,200.3,19.74,31.3,secondary|tertiary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E043,DL15,DL18,Nhà thờ Cam Ly,Làng Cổ Tích,5.256,359.5,13.07,24.1,primary|primary_link|residential|tertiary|unclassified,0.207,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E044,DL18,DL15,Làng Cổ Tích,Nhà thờ Cam Ly,5.513,359.5,13.79,24.0,primary|primary_link|residential|tertiary|unclassified,0.129,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E045,DL16,DL24,Hồ Tuyền Lâm,Thiền viện Trúc Lâm Đà Lạt,1.733,439.3,3.98,26.1,secondary|tertiary|tertiary_link,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E046,DL24,DL16,Thiền viện Trúc Lâm Đà Lạt,Hồ Tuyền Lâm,1.733,439.3,3.98,26.1,secondary|tertiary|tertiary_link,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E047,DL17,DL18,Khu du lịch sinh thái Cao Nguyên Hoa Đà Lạt,Làng Cổ Tích,6.677,1121.4,21.15,18.9,residential|unclassified,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E048,DL18,DL17,Làng Cổ Tích,Khu du lịch sinh thái Cao Nguyên Hoa Đà Lạt,6.677,1121.4,21.15,18.9,residential|unclassified,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E049,DL18,DL20,Làng Cổ Tích,Thác Ankroet,15.225,1124.5,27.2,33.6,primary|primary_link|residential|secondary|tertiary|unclassified,0.152,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E050,DL20,DL18,Thác Ankroet,Làng Cổ Tích,15.194,1124.5,27.16,33.6,primary|primary_link|residential|secondary|tertiary|unclassified,0.097,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E051,DL21,DL22,Chợ Đà Lạt,Hồ Xuân Hương,1.986,251.5,4.1,29.1,residential|secondary,0.611,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E052,DL22,DL21,Hồ Xuân Hương,Chợ Đà Lạt,1.875,251.5,3.88,29.0,residential|secondary,0.417,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E053,DL21,DL23,Chợ Đà Lạt,Quảng trường Lâm Viên,1.982,208.0,3.97,29.9,primary|residential|secondary,0.85,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E054,DL23,DL21,Quảng trường Lâm Viên,Chợ Đà Lạt,1.469,208.0,3.16,27.9,residential|secondary,0.727,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E055,DL22,DL23,Hồ Xuân Hương,Quảng trường Lâm Viên,0.942,305.9,2.56,22.1,residential|secondary|tertiary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E056,DL23,DL22,Quảng trường Lâm Viên,Hồ Xuân Hương,0.942,305.9,2.56,22.1,residential|secondary|tertiary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E057,DL23,DL25,Quảng trường Lâm Viên,Bến xe Liên tỉnh Đà Lạt,2.47,271.7,4.28,34.6,primary|secondary|tertiary,0.875,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E058,DL25,DL23,Bến xe Liên tỉnh Đà Lạt,Quảng trường Lâm Viên,2.293,271.7,4.0,34.4,primary|secondary|tertiary,0.941,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E059,DL24,DL25,Thiền viện Trúc Lâm Đà Lạt,Bến xe Liên tỉnh Đà Lạt,5.505,502.0,8.53,38.7,primary|secondary|tertiary|tertiary_link,0.5,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E060,DL25,DL24,Bến xe Liên tỉnh Đà Lạt,Thiền viện Trúc Lâm Đà Lạt,5.468,502.0,8.48,38.7,primary|primary_link|secondary|tertiary|tertiary_link,0.5,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
