scenario_id,scenario_name,edge_id,congestion_level,time_multiplier,rain_risk,fog_risk,construction_penalty,closed,notes
S3,heavy_rain,E021,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E021,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E022,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E022,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E022,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E022,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E022,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E023,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E023,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E023,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E023,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E023,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E024,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E024,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E024,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E024,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E024,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E025,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E025,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E025,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E025,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E025,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E026,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E026,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E026,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E026,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E026,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E027,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E027,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E027,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E027,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E027,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E028,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E028,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E028,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E028,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E028,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E029,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E029,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E029,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E029,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E029,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E030,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E030,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E030,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E030,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E030,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E031,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E031,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E031,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E031,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E031,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E032,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E032,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E032,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E032,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E032,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E033,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E033,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E033,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E033,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E033,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E034,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E034,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E034,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E034,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E034,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E035,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E035,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E035,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E035,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E035,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E036,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E036,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E036,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E036,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E036,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E037,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E037,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E037,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E037,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E037,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E038,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E038,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E038,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E038,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E038,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E039,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E039,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E039,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E039,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E039,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E040,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E040,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E040,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E040,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E040,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E041,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E041,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E041,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E041,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E041,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E042,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E042,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E042,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E042,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E042,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E043,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E043,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E043,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E043,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E043,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E044,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E044,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E044,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E044,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E044,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E045,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E045,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E045,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E045,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E045,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E046,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E046,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E046,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E046,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E046,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E047,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E047,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E047,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E047,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E047,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E048,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E048,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E048,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E048,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E048,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E049,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E049,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E049,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E049,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E049,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E050,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E050,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E050,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E050,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E050,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E051,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E051,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E051,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E051,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E051,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E052,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E052,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E052,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E052,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E052,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E053,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E053,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E053,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E053,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E053,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E054,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E054,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E054,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E054,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E054,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E055,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E055,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E055,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E055,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E055,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E056,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E056,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E056,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E056,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E056,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E057,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E057,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E057,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E057,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E057,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E058,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E058,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E058,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E058,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E058,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E059,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E059,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E059,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E059,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E059,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E060,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E060,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E060,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E060,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E060,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E061,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E061,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E061,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E061,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E061,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E062,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E062,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E062,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E062,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E062,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E063,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E063,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E063,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E063,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E063,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E064,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E064,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E064,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E064,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E064,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E065,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E065,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E065,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E065,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E065,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E066,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E066,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E066,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E066,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E066,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E067,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E067,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E067,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E067,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E067,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E068,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E068,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E068,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E068,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E068,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E069,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E069,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E069,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E069,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E069,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E070,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E070,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E070,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E070,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E070,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E071,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E071,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E071,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E071,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E071,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E072,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E072,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E072,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E072,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E072,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E073,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E073,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E073,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E073,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E073,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E074,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E074,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E074,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E074,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E074,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E075,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E075,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E075,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E075,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E075,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E076,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E076,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E076,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E076,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E076,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E077,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E077,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E077,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E077,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E077,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E078,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E078,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E078,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E078,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E078,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E079,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E079,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E079,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E079,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E079,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E080,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E080,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E080,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E080,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E080,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E081,1,1.0,0,0,0,False,Template value—review manually
